interval,buy_size,stop_loss_in_pct,sell_size_in_pct,holding_value,money_value,ratio
7,5000,0.3,0.3,204523.63180414157,0.0,2.0452363180414155
7,5000,0.1,0.2,204523.63180414157,0.0,2.0452363180414155
7,5000,0.5,0.4,204523.63180414157,0.0,2.0452363180414155
7,5000,0.5,0.3,204523.63180414157,0.0,2.0452363180414155
7,5000,0.5,0.2,204523.63180414157,0.0,2.0452363180414155
7,5000,0.5,0.1,204523.63180414157,0.0,2.0452363180414155
7,5000,0.4,0.5,204523.63180414157,0.0,2.0452363180414155
7,5000,0.4,0.4,204523.63180414157,0.0,2.0452363180414155
7,5000,0.4,0.3,204523.63180414157,0.0,2.0452363180414155
7,5000,0.4,0.2,204523.63180414157,0.0,2.0452363180414155
7,5000,0.4,0.1,204523.63180414157,0.0,2.0452363180414155
7,5000,0.3,0.5,204523.63180414157,0.0,2.0452363180414155
7,5000,0.3,0.4,204523.63180414157,0.0,2.0452363180414155
7,5000,0.3,0.2,204523.63180414157,0.0,2.0452363180414155
7,5000,0.3,0.1,204523.63180414157,0.0,2.0452363180414155
7,5000,0.2,0.5,204523.63180414157,0.0,2.0452363180414155
7,5000,0.2,0.4,204523.63180414157,0.0,2.0452363180414155
7,5000,0.2,0.3,204523.63180414157,0.0,2.0452363180414155
7,5000,0.2,0.2,204523.63180414157,0.0,2.0452363180414155
7,5000,0.2,0.1,204523.63180414157,0.0,2.0452363180414155
7,5000,0.1,0.5,204523.63180414157,0.0,2.0452363180414155
7,5000,0.1,0.4,204523.63180414157,0.0,2.0452363180414155
7,5000,0.1,0.3,204523.63180414157,0.0,2.0452363180414155
7,5000,0.5,0.5,204523.63180414157,0.0,2.0452363180414155
7,5000,0.1,0.1,204523.63180414157,0.0,2.0452363180414155
7,4000,0.5,0.5,202476.42037529458,0.0,2.024764203752946
7,4000,0.1,0.1,202476.42037529458,0.0,2.024764203752946
7,4000,0.5,0.3,202476.42037529458,0.0,2.024764203752946
7,4000,0.5,0.2,202476.42037529458,0.0,2.024764203752946
7,4000,0.5,0.1,202476.42037529458,0.0,2.024764203752946
7,4000,0.4,0.5,202476.42037529458,0.0,2.024764203752946
7,4000,0.4,0.4,202476.42037529458,0.0,2.024764203752946
7,4000,0.4,0.3,202476.42037529458,0.0,2.024764203752946
7,4000,0.4,0.2,202476.42037529458,0.0,2.024764203752946
7,4000,0.4,0.1,202476.42037529458,0.0,2.024764203752946
7,4000,0.3,0.5,202476.42037529458,0.0,2.024764203752946
7,4000,0.3,0.4,202476.42037529458,0.0,2.024764203752946
7,4000,0.3,0.3,202476.42037529458,0.0,2.024764203752946
7,4000,0.3,0.2,202476.42037529458,0.0,2.024764203752946
7,4000,0.3,0.1,202476.42037529458,0.0,2.024764203752946
7,4000,0.2,0.5,202476.42037529458,0.0,2.024764203752946
7,4000,0.2,0.4,202476.42037529458,0.0,2.024764203752946
7,4000,0.2,0.3,202476.42037529458,0.0,2.024764203752946
7,4000,0.2,0.2,202476.42037529458,0.0,2.024764203752946
7,4000,0.2,0.1,202476.42037529458,0.0,2.024764203752946
7,4000,0.1,0.5,202476.42037529458,0.0,2.024764203752946
7,4000,0.1,0.4,202476.42037529458,0.0,2.024764203752946
7,4000,0.1,0.3,202476.42037529458,0.0,2.024764203752946
7,4000,0.5,0.4,202476.42037529458,0.0,2.024764203752946
7,4000,0.1,0.2,202476.42037529458,0.0,2.024764203752946
28,4000,0.5,0.5,198563.8010998745,0.0,1.9856380109987448
28,4000,0.3,0.1,198563.8010998745,0.0,1.9856380109987448
28,4000,0.1,0.1,198563.8010998745,0.0,1.9856380109987448
28,4000,0.1,0.2,198563.8010998745,0.0,1.9856380109987448
28,4000,0.1,0.3,198563.8010998745,0.0,1.9856380109987448
28,4000,0.1,0.4,198563.8010998745,0.0,1.9856380109987448
28,4000,0.1,0.5,198563.8010998745,0.0,1.9856380109987448
28,4000,0.2,0.1,198563.8010998745,0.0,1.9856380109987448
28,4000,0.2,0.2,198563.8010998745,0.0,1.9856380109987448
28,4000,0.2,0.3,198563.8010998745,0.0,1.9856380109987448
28,4000,0.2,0.4,198563.8010998745,0.0,1.9856380109987448
28,4000,0.2,0.5,198563.8010998745,0.0,1.9856380109987448
28,4000,0.3,0.2,198563.8010998745,0.0,1.9856380109987448
28,4000,0.5,0.4,198563.8010998745,0.0,1.9856380109987448
28,4000,0.3,0.3,198563.8010998745,0.0,1.9856380109987448
28,4000,0.3,0.4,198563.8010998745,0.0,1.9856380109987448
28,4000,0.3,0.5,198563.8010998745,0.0,1.9856380109987448
28,4000,0.4,0.1,198563.8010998745,0.0,1.9856380109987448
28,4000,0.4,0.2,198563.8010998745,0.0,1.9856380109987448
28,4000,0.4,0.3,198563.8010998745,0.0,1.9856380109987448
28,4000,0.4,0.4,198563.8010998745,0.0,1.9856380109987448
28,4000,0.4,0.5,198563.8010998745,0.0,1.9856380109987448
28,4000,0.5,0.1,198563.8010998745,0.0,1.9856380109987448
28,4000,0.5,0.2,198563.8010998745,0.0,1.9856380109987448
28,4000,0.5,0.3,198563.8010998745,0.0,1.9856380109987448
14,2000,0.1,0.2,198440.54840613663,0.0,1.9844054840613663
14,2000,0.5,0.5,198440.54840613663,0.0,1.9844054840613663
14,2000,0.3,0.3,198440.54840613663,0.0,1.9844054840613663
14,2000,0.1,0.3,198440.54840613663,0.0,1.9844054840613663
14,2000,0.1,0.4,198440.54840613663,0.0,1.9844054840613663
14,2000,0.1,0.5,198440.54840613663,0.0,1.9844054840613663
